arm,family,pair,workload,ops,periodic_ops,combos,solver,objective,all_ops,misses,wall_s,cpsat_status,cpsat_gap,prec_viol,overlap_viol,inf_dur_assign,error
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,greedy_periodic,3.983,42.652,1,0.0,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,greedy_reserved,3.983,54.454,1,0.0,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,heft,7.927,42.652,0,0.001,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,heft_edf,7.927,42.652,0,0.002,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,pso,7.927,42.652,0,0.029,,,0,0,0,
s10port,control_mix_hd,?,networks_control_mix_hd,13,12,2,sa,7.927,42.652,0,0.113,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,best-of-fast,3.46,42.652,0,0.004,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,cpsat,3.46,44.601,0,0.317,OPTIMAL,0.0,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,cpsat:warm,3.46,42.652,0,0.303,OPTIMAL,0.0,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,cpsat:warmbest,3.46,42.652,0,0.307,OPTIMAL,0.0,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,decomposed,4.298,42.652,0,0.001,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,greedy,4.298,42.652,0,0.0,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,greedy_periodic,3.46,42.652,0,0.0,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,greedy_reserved,3.46,43.266,0,0.001,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,heft,3.46,42.652,0,0.001,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,heft_edf,3.46,42.652,0,0.001,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,pso,3.46,42.652,0,0.046,,,0,0,0,
s10port,control_mix_quad,?,networks_control_mix_quad,13,12,4,sa,3.46,42.652,0,0.105,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,best-of-fast,13.767,13.767,0,0.001,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,cpsat,13.767,13.767,0,0.299,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,cpsat:warm,13.767,13.767,0,0.296,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,cpsat:warmbest,13.767,13.767,0,0.308,OPTIMAL,0.0,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,decomposed,13.767,13.767,0,0.0,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,greedy,13.767,13.767,0,0.0,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,greedy_periodic,13.767,13.767,0,0.0,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,greedy_reserved,13.767,13.767,0,0.0,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,heft,13.767,13.767,0,0.0,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,heft_edf,13.767,13.767,0,0.001,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,pso,13.767,13.767,0,0.022,,,0,0,0,
s10port,depth_chain,cg,networks_depth_chain_cg,4,4,2,sa,13.767,13.767,0,0.067,,,0,0,0,
